年,性別,平均値等,年齢計,20_24歳,25_29歳,30_34歳,35_39歳,40_44歳,45_49歳,50_54歳,55_59歳,60_64歳,65_69歳
2008,男性,第３四分位数,399.8,224.8,269.3,322.1,382.5,451.8,493.3,507.6,483.4,333.6,280.7
2008,男性,第９十分位数,525.3,252.8,315.3,384.6,467.6,566.1,622.1,647.6,617.4,493.3,413.4
2008,男性,十分位分散係数,0.57,0.24,0.29,0.34,0.4,0.47,0.5,0.55,0.57,0.71,0.67
2008,男性,四分位分散係数,0.29,0.12,0.14,0.17,0.2,0.23,0.25,0.27,0.29,0.31,0.29
2008,女性,平均値,226.1,190.7,214.9,230.7,244.2,251.7,243.7,240.4,229.1,198.7,193.3
2008,女性,第１十分位数,138.7,145.9,153.1,151.4,146.3,139.4,134.6,130.7,127.1,116.5,110
2008,女性,第１四分位数,166.5,164.8,179.2,183.1,181.2,172.1,163.7,157.8,152,136.9,131.2
2008,女性,中位数,206.6,186.9,210,222.4,232.3,228.9,217.1,205.4,195,166,158.8
2008,女性,第３四分位数,261.2,213.4,244.1,267,287.4,303.9,297.2,291.7,273.3,218.2,213.3
2008,女性,第９十分位数,334.7,239.4,280.8,316.1,349.4,386.8,387.9,392.6,373.4,320.4,311.8
2008,女性,十分位分散係数,0.47,0.25,0.3,0.37,0.44,0.54,0.58,0.64,0.63,0.61,0.64
2008,女性,四分位分散係数,0.23,0.13,0.15,0.19,0.23,0.29,0.31,0.33,0.31,0.24,0.26
2009,男性,平均値,326.8,199.7,237.8,280.1,322,374.4,406.2,412.4,385.5,288.8,254.3
2009,男性,第１十分位数,178.7,154.9,175.2,192.2,207,216.6,219.6,209.1,183.4,148.1,128.6
2009,男性,第１四分位数,221.2,175.1,201.4,226.2,251.6,275.4,291,284.2,256.4,181.4,156.8
2009,男性,中位数,289.2,197.7,229.7,266,304.3,347.6,378.8,384.6,358.2,233.2,203.3
2009,男性,第３四分位数,391.2,220.2,263.7,317,370.5,440.1,485.8,501.4,475.6,329.4,276.8
2009,男性,第９十分位数,517.8,247.5,306.7,378,448,555.6,617.1,640,608.1,496.7,433.4
2009,男性,十分位分散係数,0.59,0.23,0.29,0.35,0.4,0.49,0.52,0.56,0.59,0.75,0.75
2009,男性,四分位分散係数,0.29,0.11,0.14,0.17,0.2,0.24,0.26,0.28,0.31,0.32,0.3
2009,女性,平均値,228,189.8,214.1,230.3,245.4,248.8,250,245.2,233.4,203.3,201.8
2009,女性,第１十分位数,138.6,143.5,151.9,151.4,145.4,139.3,136.5,132.5,128.9,120.5,113.8
2009,女性,第１四分位数,167,164.1,177.7,182.6,181.5,170.8,165.2,159.5,153.9,140.4,134.9
2009,女性,中位数,207.4,186.3,208.1,222.1,231.7,225.9,217.7,210.8,199.9,171.4,166.1
2009,女性,第３四分位数,262.6,213.2,243.4,264.1,287.1,299.8,301.9,297.4,281.1,224.9,215.9
2009,女性,第９十分位数,336.5,240.3,280,311.9,347.5,374.7,398,400.6,384.9,327.4,307.7
2009,女性,十分位分散係数,0.48,0.26,0.31,0.36,0.44,0.52,0.6,0.64,0.64,0.6,0.58
2009,女性,四分位分散係数,0.23,0.13,0.16,0.18,0.23,0.29,0.31,0.33,0.32,0.25,0.24
2010,男性,平均値,328.3,199.8,236.8,278.4,322,370.5,409.2,417.2,392.2,283.2,264.6
2010,男性,第１十分位数,180.8,155.3,174.7,192.5,208.8,220.8,225.9,215.4,192.9,149.1,132.7
2010,男性,第１四分位数,224,175.3,202.1,226.1,251.5,273.9,292.8,291.3,264.3,182.6,161
2010,男性,中位数,291.1,198,229.8,265.1,304,344.4,381.6,390.1,368,236,208.2
2010,男性,第３四分位数,393.4,220.8,263.6,313.8,367.5,432.6,489.6,503.2,481.5,328,291
2010,男性,第９十分位数,515.3,245.5,303.5,372.4,446.3,542.7,614.6,643.9,604.8,467.8,462
2010,男性,十分位分散係数,0.57,0.23,0.28,0.34,0.39,0.47,0.51,0.55,0.56,0.68,0.79
2010,男性,四分位分散係数,0.29,0.11,0.13,0.17,0.19,0.23,0.26,0.27,0.3,0.31,0.31
2010,女性,平均値,227.6,189.5,215,230.7,241.9,247.6,249.1,245.4,231.3,206.1,198.9
2010,女性,第１十分位数,139.8,143.7,152.5,151,147.3,142.4,139.3,134.3,129.2,120.4,111.3
2010,女性,第１四分位数,167.9,164.1,180,182,181.9,173.5,168.4,162.9,154.8,139.7,131.4
2010,女性,中位数,207.6,186,209,221.9,230.2,228.2,220.1,214,198.6,170.5,161.6
2010,女性,第３四分位数,263.1,211.4,242.5,266.9,282.6,298.4,301,297.8,275.2,229.2,214.5
2010,女性,第９十分位数,336.2,238.2,279.7,315,340,374.9,389.7,391.2,377.5,337,339
2010,女性,十分位分散係数,0.47,0.25,0.3,0.37,0.42,0.51,0.57,0.6,0.63,0.64,0.7
2010,女性,四分位分散係数,0.23,0.13,0.15,0.19,0.22,0.27,0.3,0.32,0.3,0.26,0.26
2011,男性,平均値,328.3,200.7,238.5,277.8,319.9,368.1,411.1,417.9,390.8,281.4,257.5
2011,男性,第１十分位数,180.3,155.9,174.3,189.4,204.7,214.4,222.1,213,190.8,152,131.8
2011,男性,第１四分位数,222.2,176.6,202.2,223.6,247.7,269.7,287,283.6,262.6,182.2,156.8
2011,男性,中位数,289.1,198.2,230.9,264.3,300.7,338.9,376.4,385.2,365.8,233.2,204.1
2011,男性,第３四分位数,389.8,220.9,265.6,313.1,365.5,430.7,492,505,484,320.4,278.5
2011,男性,第９十分位数,520.3,248.4,305.9,372.9,444.9,548.7,633,658.9,611.3,464.4,418.9
2011,男性,十分位分散係数,0.59,0.23,0.29,0.35,0.4,0.49,0.55,0.58,0.57,0.67,0.7
2011,男性,四分位分散係数,0.29,0.11,0.14,0.17,0.2,0.24,0.27,0.29,0.3,0.3,0.3
2011,女性,平均値,231.9,190.7,215,233.1,247.5,254.1,253.2,251.9,239.3,205.2,198
2011,女性,第１十分位数,140.7,142.7,151.5,151.1,149.7,143.2,139.9,137.6,132,121.7,113.5
2011,女性,第１四分位数,169.1,163.6,179.9,182.5,184.1,176.1,169.6,165.7,157.6,140.9,135.9
2011,女性,中位数,209.9,186.9,209.6,223.1,233.3,231.6,224.7,216.9,205.4,170.2,163.8
2011,女性,第３四分位数,268.4,213.8,243.4,267.4,288.2,304.5,310.7,304.3,291.1,224.3,214.7
2011,女性,第９十分位数,344.2,240.7,281.9,319,350.5,384.6,401.5,406.2,392.7,331.2,316.3
2011,女性,十分位分散係数,0.48,0.26,0.31,0.38,0.43,0.52,0.58,0.62,0.63,0.62,0.62
2011,女性,四分位分散係数,0.24,0.13,0.15,0.19,0.22,0.28,0.31,0.32,0.33,0.25,0.24
2012,男性,平均値,329,200.5,237.1,278.3,319.6,363.3,408.1,423.7,398.7,278.1,260.7
2012,男性,第１十分位数,179.5,155.4,173.1,189.8,203.6,209.3,215.3,209.1,192.2,150.6,131
2012,男性,第１四分位数,222,176.6,202.1,224.2,247.6,264.6,283.4,284.3,262.7,183.1,159.6
2012,男性,中位数,288.8,198.8,231.4,265.6,301.2,337.9,376.7,392.9,369.7,235.2,206.5
2012,男性,第３四分位数,392.4,221.1,264.7,314.8,367,428.4,489.8,519.7,486.5,312.7,289.5
2012,男性,第９十分位数,525,246.5,302.8,376.2,442.5,546.6,628.8,676,617.6,457.3,443.9
2012,男性,十分位分散係数,0.6,0.23,0.28,0.35,0.4,0.5,0.55,0.59,0.58,0.65,0.76
2012,男性,四分位分散係数,0.3,0.11,0.14,0.17,0.2,0.24,0.27,0.3,0.3,0.28,0.31
2012,女性,平均値,233.1,190.5,216.7,232.7,244.2,254.9,256.6,252.7,240.4,211.3,205.6
2012,女性,第１十分位数,142.3,143.4,152.8,153,148.8,145.6,143.1,139.1,134.3,124.9,117.6
2012,女性,第１四分位数,169.8,164.2,180.6,185,181.8,179.2,170.9,165,159.3,142.9,139.6
2012,女性,中位数,212.2,187.8,212.6,225.1,230.9,235.9,227.2,218.7,206.1,171.7,162.6
